estudiante_id,genero,nse,region,capacidad_score,capacidad_nivel,rama_real,opcion_real,opcion_numero,motivacion_principal,presion_familiar,consistencia,fase1_p01,fase1_p02,fase1_p03,fase1_p04,fase1_p05,fase1_p06,fase1_p07,fase1_p08,fase1_p09,fase1_p10,fase1_p11,fase1_p12,fase1_p13,fase1_p14,fase1_p15,fase1_p16,fase1_p17,fase1_p18,fase1_p19,fase1_p20,fase1_p21,fase1_p22,fase1_p23,fase1_p24,fase1_p25,fase1_p26,fase1_p27,fase1_p28,fase1_p29,fase1_p30,fase1_p31,fase1_p32,fase1_p33,fase1_p34,fase1_p35,fase1_p36,fase1_p37,fase1_p38,fase1_p39,fase1_p40,fase1_p41,fase1_p42,fase1_p43,fase1_p44,fase1_p45,fase1_p46,fase1_p47,fase1_p48,fase1_p49,fase1_p50,fase1_p51,fase1_p52,fase1_p53,fase1_p54,fase1_p55,fase1_p56,fase1_p57,fase1_p58,fase1_p59,fase1_p60,fase1_p61,fase1_p62,fase1_p63,fase1_p64,fase1_p65,fase1_p66,fase1_p67,fase1_p68,fase1_p69,fase1_p70,fase1_p71,fase1_p72,fase1_p73,fase1_p74,fase1_p75,fase1_p76,fase1_p77,fase1_p78,fase1_p79,fase1_p80,fase2_p01,fase2_p02,fase2_p03,fase2_p04,fase2_p05,fase2_p06,fase2_p07,fase2_p08,fase2_p09,fase2_p10,fase2_p11,fase2_p12,fase2_p13,fase2_p14,fase2_p15,fase2_p16,fase2_p17,fase2_p18,fase2_p19,fase2_p20,fase2_p21,fase2_p22,fase2_p23,fase2_p24,fase2_p25,fase2_p26,fase2_p27,fase2_p28,fase2_p29,fase2_p30,fase2_p31,fase2_p32,fase2_p33,fase2_p34,fase2_p35,fase2_p36,fase2_p37,fase2_p38,fase2_p39,fase2_p40,fase2_p41,fase2_p42,fase2_p43,fase2_p44,fase2_p45,fase2_p46,fase2_p47,fase2_p48,fase2_p49,fase2_p50,fase2_p51,fase2_p52,fase2_p53,fase2_p54,fase2_p55,fase2_p56,fase2_p57,fase2_p58,fase2_p59,fase2_p60,fase2_p61,fase2_p62,fase2_p63,fase2_p64,fase2_p65,fase2_p66,fase2_p67,fase2_p68,fase2_p69,fase2_p70,fase2_p71,fase2_p72,fase2_p73,fase2_p74,fase2_p75,fase2_p76,fase2_p77,fase2_p78,fase2_p79,fase2_p80
572,M,medio,sur,1.2,media,Negocios,ADM,11,balance_vida_trabajo,0.589,0.726,D,B,D,B,A,B,B,C,D,C,C,C,D,D,B,D,B,E,B,B,D,B,B,C,A,B,E,C,C,C,C,D,B,D,D,B,E,C,A,A,A,B,C,A,C,D,C,D,B,C,C,E,D,D,D,B,D,C,C,A,B,D,C,C,C,A,C,B,E,B,A,C,C,B,D,A,C,B,C,C,A,C,E,A,A,A,E,B,B,C,E,E,D,E,E,A,A,B,B,A,B,A,B,A,C,C,A,D,B,A,D,B,A,B,E,B,A,D,A,C,A,A,B,A,B,A,A,C,A,A,D,B,A,A,A,A,C,A,A,C,B,A,D,A,A,B,A,B,C,B,B,A,A,A,C,A,A,A,D,A
573,F,medio,centro,1.315,media_alta,Ingenieria,MEC,8,crecimiento_profesional,0.634,0.886,B,D,B,B,B,B,B,B,C,D,B,A,C,D,B,A,B,B,A,E,A,B,B,C,B,B,B,C,B,E,C,B,A,B,B,B,B,C,A,A,B,B,B,A,C,A,C,B,B,A,C,E,B,B,B,B,B,C,B,A,B,C,C,D,D,D,C,B,B,B,B,C,B,B,D,A,D,B,B,C,D,C,B,B,C,B,B,C,C,C,C,C,B,E,C,C,C,C,B,C,A,C,C,C,C,C,C,C,C,C,C,C,E,C,C,C,C,C,E,C,C,C,C,C,C,B,C,E,C,E,C,E,C,C,D,C,C,C,A,C,C,C,C,D,B,D,C,C,E,C,C,C,D,D,C,C,C,D,C,B
574,F,medio_alto,pacifico,0.556,media_baja,Salud,ODO,4,crecimiento_profesional,0.395,0.698,E,D,D,B,E,B,B,D,B,B,C,D,C,B,B,E,B,D,B,D,A,B,B,C,D,A,C,C,B,E,C,A,B,A,D,B,D,C,C,A,E,B,D,A,C,E,C,E,B,A,C,E,B,B,A,B,A,C,D,B,B,C,C,E,C,A,C,C,E,B,E,C,A,B,D,A,A,C,A,C,D,D,D,D,D,D,D,D,D,D,A,D,D,B,D,D,D,D,D,D,D,D,D,D,E,D,D,E,D,D,C,D,D,D,D,D,C,D,D,D,A,D,D,D,D,E,D,D,D,B,D,D,D,D,D,D,B,C,D,D,C,D,D,C,D,D,D,E,A,A,D,B,B,D,D,C,D,D,C,B
575,M,medio_alto,sur,1.007,media,Ingenieria,MEC,8,estabilidad_economica,0.405,0.934,D,D,D,B,C,B,B,B,B,D,C,E,C,E,C,B,B,D,B,B,A,B,B,C,B,B,B,C,B,B,B,B,B,B,A,B,B,C,B,A,B,C,D,B,C,B,C,B,B,D,C,D,D,B,A,B,B,C,B,B,B,B,C,D,D,B,C,B,D,B,B,C,B,B,D,A,A,C,D,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,B,C,B,C,C,C,C,B,D,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,B,C,C,C,C,B,B,D,D,C,E,B,C,C,B,C,C,C,E,C,C,B,C,B,C,C,C,C,C,C,E,C
576,M,bajo,centro,0.0,baja,Oficios_Tecnicos,ELEC_IND,18,estabilidad_economica,0.422,0.719,E,D,D,D,A,D,D,E,A,A,B,B,E,D,A,E,D,E,E,D,D,A,B,A,D,C,A,D,C,D,B,B,C,E,B,C,D,D,D,B,E,C,C,C,A,D,B,E,C,B,B,D,D,E,E,E,D,A,B,C,B,D,E,D,C,D,D,C,D,C,B,D,E,C,C,A,B,E,D,A,C,C,E,C,C,E,C,B,B,A,C,C,C,C,B,C,B,E,C,C,B,C,C,B,C,C,C,B,C,C,C,C,C,B,C,C,E,C,C,A,B,C,C,C,C,C,E,D,C,C,B,C,A,C,C,C,E,C,C,C,C,A,C,E,D,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
577,M,alto,centro,1.88,alta,Salud,MED,1,prestigio_social,0.892,0.756,B,E,B,A,C,B,B,D,B,B,B,B,C,A,B,A,B,D,A,A,A,B,A,C,E,A,A,C,B,B,B,A,B,D,B,B,E,C,B,A,A,B,A,A,C,B,C,A,B,B,C,B,B,B,D,B,A,C,D,A,B,E,C,A,B,E,C,B,A,B,C,C,A,B,C,A,B,B,A,C,A,C,C,E,B,A,B,E,A,D,A,A,A,A,B,A,A,B,A,A,A,A,B,B,B,A,B,A,A,C,A,D,C,A,C,A,A,E,A,A,A,A,B,A,A,A,B,A,C,D,A,C,A,C,A,A,B,C,A,A,A,A,A,C,E,A,A,A,D,A,A,B,A,B,A,B,D,A,A,A
578,F,bajo,centro,0.919,media,Oficios_Basicos,CHOFER,22,ayudar_familia,0.528,0.714,A,D,D,C,B,B,B,D,A,E,B,C,C,C,B,D,B,E,B,C,A,B,D,C,D,B,D,C,C,A,A,A,B,D,A,C,E,C,D,A,D,B,E,C,C,D,C,E,B,D,C,A,C,B,B,B,C,C,A,C,B,E,C,D,C,D,C,B,E,B,B,C,D,B,C,A,C,C,D,C,B,B,B,A,B,B,B,B,E,B,B,C,D,C,B,B,B,B,B,C,C,B,B,B,E,B,B,B,B,B,B,B,B,B,B,B,C,B,D,B,B,D,D,C,B,B,B,B,B,B,E,E,B,B,A,B,A,A,B,B,B,A,E,B,B,B,E,B,B,B,B,B,D,B,B,B,B,B,B,B
579,M,medio,sur,0.43,media,Ingenieria,MEC,8,balance_vida_trabajo,0.281,0.911,B,A,C,A,C,B,B,B,B,C,D,A,C,A,C,D,B,B,B,B,A,B,B,C,B,C,B,C,B,B,A,B,B,B,A,B,B,C,B,A,D,B,B,A,C,B,C,B,B,B,C,B,A,D,B,B,B,C,B,A,B,B,C,E,B,D,C,B,B,B,D,C,C,B,B,A,B,B,B,C,D,C,C,C,D,C,E,B,B,C,C,C,C,C,C,C,C,C,C,A,C,E,A,C,C,B,C,C,C,C,E,C,C,C,C,C,B,A,C,A,C,C,C,D,C,E,C,C,C,C,A,C,C,D,C,C,D,C,C,D,C,B,C,C,C,C,C,C,A,C,C,C,C,C,E,C,C,C,C,D
580,F,medio_alto,centro,1.086,media,Ingenieria,ELEC,7,crecimiento_profesional,0.633,0.658,B,D,B,C,D,B,B,D,B,D,C,A,C,D,C,E,B,B,C,B,D,B,B,C,B,B,B,C,B,B,A,D,B,B,A,C,D,C,C,A,B,B,B,D,C,A,C,C,B,B,C,B,B,B,B,B,E,C,B,A,B,B,C,E,A,D,C,C,B,B,B,C,B,B,B,A,D,B,B,C,C,B,B,B,B,D,B,B,B,A,E,B,B,C,B,B,B,A,C,B,B,B,B,D,B,B,B,B,B,E,B,D,B,B,B,D,B,B,D,B,B,B,B,E,B,B,B,B,B,B,B,B,C,B,B,B,B,B,A,B,B,A,E,B,B,B,C,C,B,B,B,A,C,B,B,B,B,B,B,B
581,F,medio,sur,1.785,alta,Ingenieria,ARQ,10,balance_vida_trabajo,0.204,0.935,D,D,E,A,B,B,B,D,B,B,A,A,C,A,B,B,B,D,B,B,A,B,B,C,B,A,B,C,B,E,A,B,B,B,B,B,B,C,B,A,B,B,A,B,C,D,C,D,B,B,C,E,A,B,B,B,E,C,B,A,B,A,C,A,C,A,C,B,B,B,B,C,B,B,B,A,B,B,B,C,E,E,E,B,E,D,E,E,E,B,E,E,E,E,E,D,C,B,E,D,E,E,E,D,B,A,C,D,E,C,E,E,E,D,C,D,B,E,D,C,E,E,D,E,E,B,B,E,E,E,E,E,E,D,D,A,A,E,E,E,C,C,D,E,E,E,E,B,D,E,A,E,B,C,B,C,E,B,D,E
582,M,bajo,norte,0.463,media_baja,Oficios_Tecnicos,CHEF,19,estabilidad_economica,0.308,0.863,E,D,D,B,E,B,B,D,C,A,C,B,C,D,B,D,B,D,A,A,D,B,B,C,D,B,E,C,B,E,B,E,A,D,C,C,D,C,B,A,D,B,E,D,C,A,C,A,B,A,C,A,B,D,A,B,E,C,B,D,B,C,C,D,B,D,C,B,D,B,D,C,A,B,A,A,B,C,D,C,B,D,B,B,D,C,D,D,D,D,D,D,D,C,A,D,C,B,D,D,D,D,D,D,D,D,C,B,B,D,A,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,C,D,D,A,D,D,B,D,D,D,C,D,D,D,B,D,D,C,D,D,A,D,D,D,D,D,D,D,D,D,D
583,M,medio,pacifico,0.958,media,Negocios,DER,14,crecimiento_profesional,0.502,0.773,D,D,C,B,E,B,B,D,B,E,B,D,C,E,B,C,B,E,B,C,A,B,C,C,D,B,C,C,C,D,A,C,B,C,D,C,E,C,C,A,D,B,D,C,C,C,C,C,B,C,C,A,A,D,E,B,D,C,C,B,B,D,C,C,A,C,C,B,C,B,B,C,C,B,D,A,E,D,C,C,D,D,D,E,C,E,D,D,D,D,D,D,D,D,C,D,D,B,E,D,A,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,B,B,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,A,C,D,E,D,B,A,D,C,E,E,D,D,D,D,D,E,D,D
584,F,bajo,centro,0.816,media_baja,Oficios_Tecnicos,CHEF,19,empleabilidad_rapida,0.627,0.901,E,D,D,B,D,B,B,D,B,D,C,B,C,D,B,A,B,D,A,D,A,B,B,C,D,B,D,C,C,C,A,E,A,A,B,B,D,C,B,A,D,C,D,C,C,D,C,A,B,D,C,B,A,B,D,B,B,C,E,B,B,C,C,D,B,E,C,B,D,B,D,C,C,B,D,A,B,D,D,C,D,D,B,C,D,D,B,D,D,D,D,D,A,E,D,D,D,D,D,D,C,D,B,D,D,D,C,E,D,D,D,D,A,A,D,D,D,A,D,D,D,D,D,B,D,D,E,D,D,D,C,D,E,D,D,C,B,D,D,D,C,C,B,D,E,B,D,D,E,D,D,D,D,C,D,D,D,D,D,D
585,F,medio,sur,1.745,alta,Ingenieria,ARQ,10,balance_vida_trabajo,0.251,0.939,E,A,D,B,C,B,A,D,B,A,B,A,D,D,B,D,B,B,A,A,A,B,D,C,B,A,B,C,B,B,A,E,B,C,B,B,B,C,D,A,B,B,E,C,C,C,C,D,B,B,C,B,C,B,A,B,A,C,B,B,B,D,C,B,A,B,C,B,B,B,B,C,E,B,B,A,B,A,B,C,E,A,D,B,E,E,A,E,E,E,C,E,A,D,E,C,C,E,E,E,D,D,E,C,C,E,D,D,E,C,E,E,C,B,C,D,D,E,E,C,E,A,B,B,A,E,D,D,A,B,B,E,C,E,E,E,E,D,A,C,E,E,E,E,E,E,E,E,C,E,E,D,D,E,B,A,A,E,E,E
586,F,medio_alto,norte,0.862,media,Negocios,COM,15,balance_vida_trabajo,0.356,0.663,E,C,D,B,D,B,B,E,A,D,B,A,C,C,B,D,B,C,C,D,A,B,C,C,D,B,C,C,C,C,A,B,B,D,C,B,C,C,A,A,B,B,C,B,C,C,C,D,B,B,C,C,B,B,C,B,C,C,C,A,B,C,C,C,B,D,C,B,D,B,B,C,C,B,E,A,C,B,C,C,C,B,E,B,D,B,E,B,E,E,E,E,C,E,E,E,E,E,B,E,B,D,E,E,A,D,C,E,E,E,E,C,E,C,E,D,E,C,E,B,D,D,E,E,D,E,A,D,E,E,D,C,E,E,C,E,C,B,D,D,D,E,E,C,C,C,E,C,E,D,E,E,C,B,D,E,E,C,D,D
587,M,bajo,pacifico,0.589,media,Oficios_Tecnicos,TEC_ENF,16,ayudar_familia,0.485,0.827,E,D,A,B,D,B,A,C,B,A,B,E,C,D,B,E,B,E,B,D,A,B,E,C,D,A,D,C,B,C,C,B,B,A,B,B,D,C,D,A,B,C,B,B,C,B,C,D,A,E,C,D,B,D,B,B,D,C,B,A,B,C,C,C,A,D,C,B,D,B,E,C,E,B,D,A,A,C,A,C,A,C,A,E,A,D,B,A,A,A,A,C,E,A,A,B,A,C,A,B,A,A,E,A,A,B,A,E,A,A,C,E,E,E,A,A,D,A,D,A,A,A,A,A,E,D,A,A,A,B,D,A,A,D,B,B,A,D,E,C,A,C,A,D,A,A,B,A,C,A,D,A,D,A,A,C,A,B,C,B
588,F,medio,sur,1.08,media_alta,Salud,ODO,4,balance_vida_trabajo,0.281,0.779,A,B,D,A,B,B,B,D,B,B,B,A,C,B,B,D,B,C,B,B,D,B,E,C,C,B,E,C,C,B,B,B,B,A,C,C,A,C,C,A,C,C,A,A,C,B,C,D,B,A,C,B,C,B,D,B,A,C,A,B,B,B,C,D,B,A,C,B,D,B,B,C,C,B,B,A,E,A,A,C,B,B,D,B,E,D,D,D,D,D,D,C,D,D,A,D,C,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,C,D,E,D,D,D,D,D,D,D,A,B,D,D,A,D,C,C,D,D,D,D,D,D,D,B,D,D,D,D,D,E,D,D,D,E,D,D,D,D,D,E,D,B,C,D,D,D
589,F,medio_alto,norte,1.008,media,Ingenieria,SW,6,crecimiento_profesional,0.42,0.735,A,E,C,B,C,B,B,D,C,A,B,B,C,D,B,B,B,B,A,B,D,B,A,C,D,A,E,C,C,B,C,E,B,B,A,B,A,C,C,A,C,B,E,B,C,B,C,A,B,A,C,C,A,B,E,B,B,C,B,A,B,B,C,B,B,C,C,C,B,B,C,C,D,B,D,A,E,D,B,C,A,B,C,D,A,A,A,E,D,A,A,A,B,A,A,A,C,C,B,A,E,B,A,C,A,B,A,E,A,B,A,A,A,A,B,D,A,A,B,A,C,C,A,A,D,A,A,A,B,C,B,A,A,E,E,A,A,E,A,D,C,A,B,A,A,A,A,A,C,A,A,A,B,A,A,A,C,A,D,D
590,F,medio,centro,0.586,media,Negocios,CONT,12,balance_vida_trabajo,0.694,0.733,D,C,C,C,E,B,A,D,C,A,A,C,C,C,B,A,B,E,B,C,D,B,D,C,C,C,D,C,B,D,A,D,B,C,B,B,D,C,C,A,C,B,C,D,C,C,C,A,B,C,C,D,A,B,D,B,D,C,D,D,B,E,C,C,D,C,C,C,C,B,E,C,D,B,C,A,C,C,D,C,B,B,B,B,D,A,A,B,B,B,B,C,B,B,C,B,B,C,D,C,B,C,B,B,B,B,B,B,B,B,B,E,B,E,B,B,C,B,E,B,C,B,B,B,B,C,B,E,B,A,B,C,B,B,E,D,B,D,B,B,B,D,B,B,B,B,B,C,B,E,B,B,E,B,C,E,B,E,B,B
591,M,bajo,centro,0.547,media_baja,Oficios_Tecnicos,TEC_AUTO,20,estabilidad_economica,0.531,0.747,B,D,B,C,C,B,B,D,C,E,B,E,C,D,B,D,B,D,B,D,D,B,E,C,B,B,D,C,B,E,B,D,A,B,C,C,D,C,C,A,A,B,B,D,C,A,C,D,B,D,C,D,B,B,E,B,A,C,E,A,B,A,C,D,B,A,C,C,D,B,E,C,D,B,B,A,D,D,C,C,E,E,E,D,E,E,A,D,E,E,E,C,B,E,E,E,C,E,E,D,D,E,E,B,D,E,E,E,A,D,E,E,E,E,B,D,E,E,B,D,E,E,E,A,E,E,E,D,E,B,D,C,E,E,E,E,E,C,E,E,E,E,E,E,A,D,E,E,E,D,E,E,E,C,E,E,E,B,C,C
592,F,bajo,pacifico,0.477,media_baja,Oficios_Tecnicos,CHEF,19,empleabilidad_rapida,0.445,0.844,E,D,C,A,B,B,B,D,B,E,C,E,D,D,B,D,B,D,B,A,A,B,D,C,A,A,C,C,B,E,B,D,A,D,B,C,D,C,E,A,D,B,C,C,C,A,C,E,A,B,C,D,C,B,E,B,A,C,C,A,B,B,C,E,C,D,C,B,E,B,E,C,D,B,B,A,D,B,D,C,D,D,D,A,D,D,D,D,C,D,D,D,D,B,E,D,D,E,D,D,B,D,C,A,D,D,D,D,D,C,D,D,C,B,E,E,E,E,B,D,D,D,D,D,D,D,B,E,E,D,D,D,D,D,D,D,E,C,D,B,D,D,D,D,D,D,D,D,D,D,C,D,E,D,A,D,D,D,D,D
593,F,medio,norte,0.372,baja,Negocios,MKT,13,estabilidad_economica,0.389,0.682,E,D,C,D,A,E,C,D,E,A,E,C,A,D,D,D,E,E,B,C,C,C,C,D,C,B,B,A,D,B,C,D,A,C,C,E,C,C,D,B,D,D,E,D,A,C,B,D,E,D,A,B,E,D,D,C,D,B,D,E,A,E,D,C,E,C,B,E,C,A,D,D,C,A,C,D,A,D,C,A,E,E,B,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,A,B,C,C,D,C,C,C,A,D,C,A,C,C,C,B,C,C,C,D,C,B,C,A,C,C,C,C,C,C,E,C,C,C,C,C,C,C,C,C,B,C,C,D,C,C,A,B,C,C,D,C,C,B,C,C,D,D,C,C
594,F,bajo,pacifico,0.308,baja,Oficios_Tecnicos,TEC_AUTO,20,estabilidad_economica,0.456,0.785,C,D,E,C,D,C,D,D,E,A,C,B,E,D,D,D,D,D,D,C,D,C,D,D,D,B,D,D,D,E,B,E,C,A,D,E,E,B,C,C,E,E,E,D,B,E,A,E,C,E,E,E,C,A,D,D,C,E,E,E,C,C,B,A,C,A,E,B,A,A,A,E,D,D,D,C,D,C,E,E,A,B,E,E,C,E,D,E,E,E,B,E,C,E,C,E,E,E,E,E,B,E,D,E,B,D,D,E,E,E,B,C,E,C,E,D,D,D,E,E,C,E,C,D,B,E,E,E,B,E,A,B,B,D,D,D,D,E,E,E,A,B,D,A,B,E,E,E,B,A,A,E,E,C,E,E,E,C,D,C
595,M,medio,centro,0.808,media_baja,Salud,ODO,4,balance_vida_trabajo,0.526,0.756,B,D,C,B,C,B,B,A,C,A,B,B,C,D,B,D,B,D,D,B,D,B,B,C,D,A,A,C,B,B,D,A,B,C,A,B,A,C,D,A,B,B,A,B,C,A,C,A,B,D,C,D,C,D,A,B,A,C,C,B,B,A,C,A,B,B,C,C,E,B,A,C,D,B,E,A,A,B,D,C,A,C,D,D,D,D,B,D,D,C,E,C,B,D,D,B,D,D,D,D,B,D,B,D,D,A,D,D,A,D,D,D,E,D,D,D,D,D,D,D,C,D,C,D,D,B,D,E,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,E,A,D,D,D,A,D,D,D,D,C,D,B,D,D,D
596,F,medio_alto,pacifico,1.148,media_alta,Ingenieria,SW,6,balance_vida_trabajo,0.427,0.684,C,A,D,B,C,B,B,B,D,D,B,A,C,E,B,D,B,E,B,B,A,B,B,C,C,C,B,C,B,B,A,C,A,A,C,B,E,C,B,A,D,B,E,A,C,B,C,B,B,B,C,B,C,B,B,B,E,C,B,B,B,B,C,B,A,B,C,B,A,B,C,C,B,B,B,A,B,A,B,C,C,D,A,E,A,A,A,D,B,A,B,A,B,D,E,A,D,B,B,C,A,A,A,C,A,C,C,D,A,D,A,C,C,D,A,A,A,A,E,A,A,A,A,A,A,B,B,D,B,D,B,A,A,A,D,B,A,E,E,A,C,C,A,A,B,B,E,D,E,B,E,E,B,B,D,A,C,A,A,A
597,F,medio,pacifico,0.733,media,Salud,MED,1,balance_vida_trabajo,0.28,0.947,E,D,D,A,D,B,B,D,B,A,B,B,C,B,C,D,B,A,C,D,D,B,C,C,C,B,D,C,B,A,B,E,B,B,D,C,A,C,A,A,A,B,B,A,C,C,C,E,B,E,C,D,A,B,A,B,A,C,A,B,B,E,C,B,D,D,C,B,D,B,A,C,E,B,D,A,A,B,D,C,A,A,A,A,A,A,C,A,E,B,A,A,A,A,D,A,D,A,A,C,A,C,A,A,A,B,A,D,A,D,A,B,E,D,A,B,A,E,B,A,D,C,A,C,D,D,B,A,A,A,C,D,C,E,D,D,A,D,D,A,A,B,E,C,A,A,A,A,A,D,C,C,E,A,D,A,A,C,A,C
598,F,medio_alto,norte,0.404,media_baja,Salud,MED,1,balance_vida_trabajo,0.49,0.672,E,B,D,B,C,B,B,B,B,B,A,B,D,D,B,D,B,D,D,D,D,B,C,C,A,B,D,C,B,A,C,D,B,A,C,C,A,C,D,A,A,C,A,B,C,A,C,A,B,A,C,A,A,B,D,B,A,C,E,B,B,C,C,E,C,B,C,B,C,B,D,C,A,B,D,A,A,B,C,C,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,B,A,A,A,B,D,D,A,D,A,B,D,D,A,B,D,E,A,C,E,B,C,A,B,A,A,A,A,A,B,A,E,A,A,C,A,A,D,E,A,C,D,A,B,A,B,B,A,A,A,A,C,B,A,D,E,D,A,A,A,A,D
599,M,medio_alto,centro,1.589,alta,Salud,PSI,2,estabilidad_economica,0.577,0.704,A,D,E,B,B,B,B,D,A,B,C,E,C,A,C,A,B,A,D,A,A,B,A,C,E,B,A,C,B,A,A,A,B,A,B,B,B,C,A,A,E,B,D,B,C,B,C,A,B,E,C,A,A,B,C,B,B,C,A,B,B,C,C,A,A,D,C,B,D,B,E,C,C,B,A,A,C,B,D,C,B,B,B,D,B,A,B,B,B,B,B,B,B,D,D,B,B,B,B,B,E,B,C,B,B,D,B,B,B,B,E,E,B,B,C,C,E,C,E,C,A,B,B,A,B,B,B,B,A,B,C,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,B,D,C,B,C,C,C,C,D,B,B
600,F,medio,centro,0.894,media,Oficios_Tecnicos,ELEC_IND,18,balance_vida_trabajo,0.473,0.831,B,D,D,B,E,B,A,D,C,A,B,B,C,B,B,E,B,C,A,D,A,B,E,C,A,B,B,C,B,C,C,D,B,E,A,C,D,C,C,A,D,B,D,B,C,A,C,C,B,D,C,D,B,B,D,B,D,C,E,D,B,E,C,D,D,A,C,C,D,B,B,C,E,B,A,A,B,B,E,C,C,B,D,D,C,C,E,D,C,C,C,E,C,C,C,C,B,C,D,D,C,C,C,C,C,C,C,B,C,C,B,B,D,C,B,C,C,C,C,C,C,C,C,B,D,B,C,E,C,C,C,B,D,E,D,C,A,C,B,D,C,C,C,C,C,C,C,C,C,B,A,B,C,C,C,B,E,E,C,C
601,M,bajo,pacifico,0.712,media_baja,Oficios_Basicos,ALBANIL,21,ayudar_familia,0.248,0.733,E,D,E,B,A,B,B,E,B,E,B,E,D,D,B,D,B,D,C,D,A,B,D,C,D,A,D,C,C,C,B,D,B,D,C,C,B,C,D,A,E,C,E,C,C,A,C,D,B,E,C,E,D,D,E,B,B,C,D,C,B,A,C,A,D,E,C,B,E,B,D,C,D,B,C,A,D,A,D,C,C,A,A,A,A,A,C,A,A,C,C,A,D,A,B,A,A,A,A,A,E,B,E,E,A,B,A,A,A,A,B,A,D,D,A,B,B,B,B,A,B,A,D,D,A,A,C,C,C,C,D,A,B,D,B,A,B,C,D,A,A,A,D,A,B,B,C,A,D,D,A,B,B,A,B,D,A,D,B,E
602,F,medio,centro,0.416,media_baja,Oficios_Tecnicos,CHEF,19,crecimiento_profesional,0.638,0.947,B,B,D,B,A,B,B,D,B,E,B,E,C,D,B,D,B,D,C,E,D,B,D,C,D,B,D,C,B,C,A,E,B,D,B,C,C,C,C,A,A,C,D,D,C,E,C,C,A,D,C,E,D,B,C,B,D,C,D,B,B,D,C,E,C,E,C,B,D,B,D,C,E,B,E,A,A,B,D,C,D,B,C,D,D,D,B,C,D,D,D,D,D,D,D,D,D,D,D,B,D,D,B,A,E,A,D,D,C,E,D,B,D,D,D,C,D,D,D,B,B,D,D,D,D,D,D,D,D,D,D,D,C,D,C,D,D,D,E,D,D,D,A,D,D,A,D,A,C,D,D,D,B,D,D,B,D,C,D,D
603,M,alto,centro,1.455,media_alta,Ingenieria,CIV,9,impacto_social,0.781,0.808,D,A,B,B,C,B,B,B,B,B,C,B,C,D,B,B,B,E,A,D,A,B,B,C,B,A,C,C,B,B,A,B,B,B,B,B,E,C,B,A,B,B,A,B,C,A,C,E,B,B,C,B,B,B,B,B,D,C,B,B,B,C,C,B,B,B,C,B,C,B,B,C,B,B,B,A,C,B,B,C,D,E,D,D,C,A,E,D,C,A,D,D,C,E,C,D,D,D,D,C,D,B,C,D,D,D,D,D,D,D,A,D,D,D,D,D,A,D,D,D,D,D,D,B,D,A,D,D,D,D,D,D,D,C,C,D,B,D,D,D,D,D,C,D,D,D,D,D,E,D,C,D,E,C,D,D,D,D,D,D
604,F,bajo,sur,1.057,media,Oficios_Tecnicos,CHEF,19,empleabilidad_rapida,0.426,0.892,B,D,E,B,E,B,B,A,B,E,B,B,C,B,B,A,B,B,A,A,D,B,C,C,B,A,A,C,C,E,A,A,B,B,A,B,D,C,D,A,B,C,D,C,C,B,C,A,A,D,C,D,A,B,D,B,A,C,C,A,B,A,C,A,B,D,C,B,A,B,D,C,E,B,D,A,A,A,B,C,A,B,D,D,D,B,D,D,D,D,B,D,D,D,D,D,C,D,D,D,D,D,A,D,D,D,D,D,D,D,B,D,C,E,C,E,B,D,D,C,E,D,D,D,D,D,C,D,D,D,D,B,C,B,D,D,D,D,B,C,D,C,D,D,D,D,D,D,A,D,D,D,A,D,D,D,D,A,D,D
605,M,medio,norte,0.903,media,Negocios,DER,14,balance_vida_trabajo,0.487,0.738,C,D,D,C,D,B,B,B,B,E,C,E,D,C,C,E,B,C,B,B,A,B,C,C,D,B,E,C,B,C,D,E,A,D,B,B,C,C,D,A,C,B,C,B,C,E,C,D,A,C,C,C,C,D,D,B,C,C,E,C,B,D,C,E,D,C,C,B,B,B,C,C,C,B,C,A,C,B,B,C,E,C,D,D,D,D,D,D,D,C,D,C,D,D,D,D,D,E,D,B,B,D,D,D,D,D,C,D,D,D,C,D,D,D,D,C,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,C,B,D,D,D,D,D,D,D,A,D,E,D,C,B,D,D,D,D,D,D,C,C,D,C,D,D,B
